# both

甚至	ConMixed

但	ConDan4
又	ConYou4
或	ConHuo4
或是	ConHuoshi

# concoords

及	Concoord
况且	Concoord
以及	Concoord
乃至	Concoord

# special concoords

和	ConHe2
与	ConYu3

同	ConTong
跟	ConGen1
