# nominal classifiers
# - https://en.wikipedia.org/wiki/List_of_Chinese_classifiers

#key	#val	#quanti_tag	#nquant_tag

## Classifiers proper

个	cái	QtGe4
本	quyển	Qtnoun
埲
部
册
冊
场
处
出
次
道
顶
栋
堵
顿
朵
发	phát
份
封
幅
杆
根
号
家
架
间
件
届
卷
棵
颗
口
类
粒
辆
列
轮
枚
门
面
名
盘
泡
匹
篇
片
坺
樖
起
扇
首
水
艘
所
台
堂
趟
题
条
头
尾
位
项
宿
样
𠹻
则
盏
张
只
支
枝
种
株
柱
尊
座

## Measure words/massifiers
把	chiếc	phát	QtBa3
点	điểm	giờ	QtDien
班
帮
包
杯
辈
笔
串
床
沓
袋
啖
啲
滴
段
堆
对	đôi
服
副
股
嚿
管
罐
行
盒
户
壶
伙
剂
节
句
口
块
捆
俩
摞
缕
排
批
瓶
期
群
仨
束
双
套
听
团
坨
碗
些
匝
扎
阵
注
组

## Measurement units

### Time
年	năm	QtNien
月	tháng	QtYue4
日	ngày	QtRi4
号	số	QtHao
分	phút	QtFen1
秒	giây	QtMiao
刻	khắc	Qttime
天	ngày	Qttime
载	năm	Qttime
岁	tuổi	Qttime
周	tuần	Qttime
席	tối	Qttime
秒钟	giây	Qttime
分钟	phút	Qttime
小时	giờ	 	Qttime
个月	tháng	Qttime
时辰	canh giờ	Qttime


### weight/mass
克		Qtwght
两		Qtwght
加仑		Qtwght
斤		Qtwght
公斤		Qtwght
千克		Qtwght
吨		Qtwght

### length/distance
公分		Qtdist
厘米		Qtdist
寸		Qtdist
吋		Qtdist
尺		Qtdist
呎		Qtdist
英尺		Qtdist
公尺		Qtdist
米	mét	Qtdist
分米	centimet	Qtdist
里	dặm	Qtdist
哩		Qtdist
英里		Qtdist
海里		Qtdist
公里		Qtdist
天文单位		Qtdist
光年		Qtdist
秒差距		Qtdist

### money classifiers
圆		Qtcash
元		Qtcash
块		Qtcash
角		Qtcash
毛		Qtcash
毫		Qtcash
#分		Qtcash


## verbal classifiers - động lượng từ
遍		Qtverb
场		Qtverb
次		Qtverb
顿		Qtverb
回		Qtverb
声		Qtverb
趟		Qtverb
下		Qtverb
下儿		Qtverb
番		Qtverb
阵		Qtverb
会		Qtverb
会儿		Qtverb
