亭	tíng		
亮	liàngǀliang		
亲	qīnǀqìngǀqín		
亳	bó		
亵	xiè		
亶	dǎn		
亸	duǒ		
亹	wěiǀmén		
人	rénǀren		
亻	rén		
亼	jí		
亽	xx		
亿	yì		
什	shíǀshénǀshi		
仁	rén		
仂	lè		
仃	dīng		
仄	zè		
仅	jǐn		
仆	púǀpū		
仇	chóuǀqiú		
仈	bā		
仉	zhǎng		
今	jīn		
介	jiè		
仍	réng		
从	cóng		
仏	fó		
仑	lún		
仒	xx		
仓	cāng		
仔	zǎiǀzǐǀzī		
仕	shì		
他	tā		
仗	zhàngǀzhang		
付	fùǀfu		
仙	xiān		
仝	tóng		
仞	rèn		
仟	qiān		
仡	gēǀyì		
代	dài		
令	lìngǀlíngǀlǐng		
以	yǐ		
仨	sā		
仪	yí		
仫	mù		
们	menǀmén		
仮	jiǎ		
仰	yǎng		
仲	zhòng		
仳	pǐ		
仵	wǔ		
件	jiàn		
价	jiàǀjieǀga		
任	rènǀrén		
份	fènǀfen		
仿	fǎng		
伀	zhōng		
企	qǐǀqì		
伄	diào		
伈	xǐn		
伉	kàng		
伊	yī		
伋	jí		
伍	wǔ		
伎	jì		
伏	fúǀfu		
伐	fá		
休	xiū		
伕	fū		
众	zhòng		
优	yōu		
伙	huǒǀhuo		
会	huìǀkuàiǀhui		
伛	yǔ		
伜	cuì		
伝	chuánǀyún		
伞	sǎn		
伟	wěi		
传	chuánǀzhuàn		
伢	yá		
伣	qiàn		
伤	shāng		
伥	chāng		
伦	lún		
伧	cāngǀchen		
伩	xìn		
伪	wěi		
伫	zhù		
伭	xián		
伯	bóǀbàǀbǎi		
估	gūǀgùǀgu		
伲	nǐǀnì		
伴	bàn		
伶	língǀling		
伸	shēn		
伹	qū		
伺	sìǀcì		
伻	bēng		
似	sìǀshì		
伽	jiāǀgāǀqié		
伾	pī		
佁	yǐ		
佃	diànǀtián		
但	dàn		
佉	qūǀqiā		
佌	cǐ		
位	wèi		
低	dī		
住	zhùǀzhu		
佐	zuǒ		
佑	yòu		
体	tǐǀtī		
何	hé		
佖	bì		
佗	tuó		
佘	shé		
余	yúǀyu		
佚	yì		
佛	fóǀfú		
作	zuòǀzuoǀzuō		
佝	gōuǀkòu		
佞	nìng		
佟	tóng		
你	nǐ		
佡	xiān		
佢	qú		
佣	yōngǀyòng		
佤	wǎ		
佥	qiān		
佧	kǎ		
佩	pèi		
佪	huái		
佫	hè		
佬	lǎo		
佯	yáng		
佰	bǎi		
佳	jiā		
佴	èr		
佶	jí		
佷	hěn		
佸	huó		
佹	guǐ		
佺	quán		
佻	tiāo		
佼	jiǎo		
佽	cì		
佾	yì		
使	shǐǀshi		
侀	xíng		
侁	shēn		
侂	tuō		
侃	kǎn		
侄	zhí		
侅	gāi		
侇	yí		
侈	chǐ		
侉	kuǎ		
例	lì		
侍	shìǀshi		
侏	zhū		
侐	xù		
侑	yòu		
侔	móu		
侗	dòngǀtóng		
侘	chà		
侚	xùn		
供	gōngǀgòng		
侜	zhōu		
依	yī		
侠	xiá		
価	jià		
侣	lǚ		
侥	jiǎoǀyáo		
侦	zhēn		
侧	cèǀzhāi		
侨	qiáo		
侩	kuài		
侪	chái		
侬	nóng		
侮	wǔ		
侯	hóu		
侴	chǒu		
侵	qīn		
侹	tǐng		
便	biànǀpián		
促	cù		
俄	é		
俅	qiú		
俉	wú		
俊	jùnǀzùn		
俍	liáng		
俎	zǔ		
俏	qiào		
俐	lìǀli		
俑	yǒng		
俗	sú		
俘	fú		
俙	xī		
俚	lǐ		
俛	miǎn		
俜	pīng		
保	bǎo		
俞	yúǀshù		
俟	sìǀqí		
信	xìn		
俣	yǔ		
俤	dì		
俦	chóu		
俨	yǎn		
俩	liǎǀliǎng		
俪	lì		
俫	lái		
俭	jiǎn		
修	xiū		
俯	fǔ		
俱	jù		
俳	pái		
俴	jiàn		
俵	biào		
俶	chù		
俷	fèi		
俸	fèng		
俺	ǎn		
俾	bǐ		
倂	bìng		
倃	jiù		
倅	cuì		
倌	guān		
倍	bèi		
倏	shū		
倒	dǎoǀdào		
倓	tán		
倔	jué		
倕	chuí		
倘	tǎngǀcháng		
候	hòuǀhou		
倚	yǐ		
倜	tì		
倝	gàn		
倞	jìng		
借	jiè		
倡	chàngǀchāng		
倢	jié		
値	zhí		
倥	kǒngǀkōng		
倦	juàn		
倧	zōng		
倨	jù		
倩	qiàn		
倪	ní		
倬	zhuō		
倭	wō		
倮	luǒ		
倴	bèn		
倵	wǔ		
倶	jù		
倷	nǎi		
倹	jiǎn		
债	zhài		
倻	yē		
值	zhí		
倾	qīng		
偁	chēng		
偃	yǎn		
假	jiǎǀjiàǀgēi		
偈	jìǀjié		
偌	ruò		
偎	wēi		
偏	piān		
偓	wò		
偕	xié		
做	zuò		
停	tíng		
偝	bèi		
偟	huáng		
偡	zhàn		
偢	chǒu		
健	jiàn		
偨	cī		
偩	fù		
偫	zhì		
偬	zǒng		
偭	miǎn		
偯	yǐ		
偰	xiè		
偱	xún		
偲	sī		
偶	ǒu		
偷	tōu		
偸	tōu		
偻	lóuǀlǚ		
偾	fèn		
偿	cháng		
傀	kuǐǀguī		
傃	sù		
傅	fùǀfu		
傈	lì		
傉	nù		
傍	bàng		
傎	diān		
傒	xī		
傔	qiàn		
傕	jué		
傜	yáo		
傞	suō		
傢	jiā		
傣	dǎi		
傥	tǎng		
傧	bīn		
储	chǔ		
傩	nuó		
催	cuī		
傮	zāo		
傲	ào		
傺	chì		
傻	shǎ		
傿	yānǀyàn		
僄	piào		
僇	lù		
働	xx		
僎	zhuàn		
像	xiàng		
僔	zǔn		
僖	xī		
僚	liáo		
僜	dèng		
僝	chán		
僣	jiàn		
僦	jiù		
僧	sēng		
僩	xiàn		
僬	jiāo		
僭	jiàn		
僮	tóngǀzhuàng		
僯	lǐn		
僰	bó		
僳	sù		
僵	jiāng		
僻	pì		
僾	ài		
僿	sài		
儃	chán		
儅	dāng		
儆	jǐng		
儇	xuān		
儊	chù		
儋	dān		
儌	jiǎo		
儍	shǎ		
儒	rú		
儓	tái		
儜	níng		
儡	lěi		
儤	bào		
儦	biāo		
儩	sì		
儭	chèn		
儱	lǒng		
儳	chàn		
儴	ráng		
儹	zǎn		
儽	lěi		
儿	rǀérǀrén		
兀	wù		
允	yǔn		
元	yuán		
兄	xiōngǀxīngǀxiong		
充	chōng		
兆	zhào		
先	xiān		
光	guāng		
克	kè		
免	miǎn		
児	ér		
兑	duì		
