又	lại	Cj_you4
但	nhưng	Cj_dan4
或	hoặc	Cj_huo4
或是	hoặc là	Cj_huoshi
和	và	Cc_real
与	cùng	Cc_real
同	với	Cc_real
跟	cùng	Cc_real
