#key	#val	#tag

没	không	Adv_mei_0
没	chưa	Adv_mei_1
没	không có	Adv_mei_2
没有	không	Adv_mei_0
没有	chưa	Adv_meiyou_1
没有	không có	Adv_meiyou_2
