好	tốt	Adjt
坏	xấu	Adjt
死	chết	Adjt
宽	rộng	Amed
高	cao	Amed
长	dài	Amed
远	xa	Amed
重	nặng	Amed
清楚	tinh tường	Adjt	2
清楚	tinh tường	Verb	1
清楚	tinh tường	Vead	1

熟悉	quen thuộc	Adjt	2
熟悉	quen thuộc	Nabs	1
熟悉	quen thuộc	Vtrn	1

刚	cứng	Adjt	2
老	già	Adjt	2
光	bóng	Adjt	1

特别	đặc biệt	Adjt	1
顶	đỉnh	Adjt	1

狰狞	dữ tợn	Adjt	2

色	sắc	Adjt	2
少	ít	Adjt	2
