次	lần	lượt	chuyến
回	hồi
遍	lượt
趟	chuyến	lần	hàng	dãy
下	phát
顿	chầu	hồi	trận
番	phe	loại	dạng	hồi	lần
阵	trận
会	lúc
下儿	phát
会儿	lát
