几	mấy	Ri_ji
哪	nào	Ri_na2
谁	ai	Ri_shei

何	gì	Rint
何	Hà	Rint
啥	gì	Rint
咋	thế nào	Rint
多少	nhiều ít	Rint
哪里	nơi nào	Rint
哪里	ở đâu	Rint
怎样	như thế nào	Rint
怎样	Chẩm Dạng	Rint
哪儿	chỗ nào	Rint
哪里	nơi nào	Rint
哪里	ở đâu	Rint
什么	nào	Rint
什么	cái gì	Rint
怎么	thế nào	Rint
怎么	làm sao	Rint
怎么样	như thế nào	Rint
怎能	có thể nào	Rint
怎的	sao	Rint
几时	khi nào	Rint
多少	nhiều ít	Rint
若干	một số	Rint
为何	vì sao	Rint
为何	là gì	Rint
为什么	vì cái gì	Rint
如何	thế thế nào	Rint
如何	thế nào	Rint
为啥	vì sao	Rint
