她没有你这么善良	nàng không thiện lương bằng ngươi thế này
他唱得没有你好听	hắn hát không dễ nghe bằng ngươi
爸爸做的饭没有妈妈做的饭好吃	cơm do ba ba làm không ngon bằng cơm do ma ma làm
我没有他胖	ta không béo bằng hắn
巧克力没有糖果甜	sô-cô-la không ngọt bằng kẹo
她没有我这么高	nàng không cao bằng ta thế này
