#key	#val	#tag

没	không	Fd_mei_0
没	chưa	Fd_mei_1
没	không có	Fd_mei_2
没有	không	Fd_mei_0
没有	chưa	Fd_meiyou_1
没有	không có	Fd_meiyou_2
