# adjectives

Aa	Adjt	CanBePred	# normal adjective
An	Ajno	MaybeNoun
Ad	Ajad	MaybeAdvb

# modifier 区别词
Ab_t	Amod	MaybeModi, AtTail	# modifier place after center noun
Ab_h	AmodL	MaybeModi, AtHead	# modifier put before noun

# words that act as adjective
Al_x	Amix	CanBePred	# 形容词性惯用语 adjectival formulaic expression
Al_z	Ades	CanBePred 	# 状态词 stative verb
