# suffixes

SufName	Ktetic	# make other names
SufNoun	Unreal	# make noun words
SufAttr	Unreal	# make noun attribute
SufTime	Unreal	# make whole structure as time expression

SufVerb	Unreal	# tranform adjt/noun to verb
SufAdjt	Unreal	# transform verb/noun to adjt

SufZhi	Unreal	# 之 + noun that can have alternative meaning

SufMen5	Unreal	# "们"
SufXing	Unreal	# "性"

# prefixes

Prefix 	Unreal	# placeholder

PreKe3	Unreal	# "可"
PreDi4	Unreal	# "第"
