点	điểm	Qmass

班
帮
包
杯
辈
笔
串
床
沓
袋
啖
啲
滴
段
堆
对	đôi	Qnoun	1
服
副
股
嚿
管
罐
行	hàng	Qnoun	1
盒
户
壶
伙
剂
节
句
口
块
捆
俩
摞
缕
排
批
瓶
期
群
仨
束
双
套
听
团
坨
碗
些
匝
扎
阵
注
组
