公分	centimet	Qdist
厘米	centimet	Qdist
分米	decimet	Qdist
寸	tấc	Qdist
吋	tấc	Qdist
尺	thước	Qdist
呎	thước	Qdist
英尺	thước Anh	Qdist
公尺	mét	Qdist
米	mét	Qdist	1
里	dặm	Qdist	1
哩	dặm	Qdist
英里	dặm Anh	Qdist
海里	hải lý	Qdist
公里	kilomet	Qdist
天文单位	đơn vị thiên văn	Qdist
光年	năm ánh sáng	Qdist
秒差距	parsec	Qdist

吨	tấn	Qwght
克	gram	Qwght
两	lượng	Qwght
加仑	ga-lông	Qwght
斤	cân tàu	Qwght
公斤	ký-lô	Qwght
千克	ki-lô-gam	Qwght

圆	đồng	Qcash
元	nguyên	Qcash
块	khối	Qcash
角	hào	Qcash
毫	hào	Qcash
毛	mao	Qcash
分	xu	Qcash


两
元
里
美元
分
开
米
亩
公里
块
公斤
吨
方
平方米
千瓦时
度
平方公里
加元
厘米
立方米
千瓦
毫米
斤
盾
尺
刀
公顷
英里
角
市斤
克
担
寸
英寸
克朗
马克
磅
英镑
法郎
丈
镑
英尺
毫安
亩次
毫升
千克
千伏
平方里
里拉
