给	cho
寄	gửi
送	đưa
赠	tặng
赏	thưởng
教	dạy
还	trả
付	giao
赔	đền
偷	trộm
收	thu
抢	đoạt
赢	thắng
托	nhờ
罚	phạt
拿	cầm
问	hỏi
告诉	nói với
吩咐	căn dặn
回答	trả lời
报告	báo cáo
打听	nghe ngóng
通知	thông báo
称呼	xưng hô
称	xưng
叫	gọi
喊	kêu
