次	lầnǀlượtǀchuyến
回	hồi
遍	lượt
趟	chuyếnǀlầnǀhàngǀdãy
下	phát
顿	chầuǀhồiǀtrận
番	phenǀloạiǀdạngǀhồiǀlần
阵	trận
会	lúc
下儿	phát
会儿	lát
