钧	quân
袭	bộ
丈	trượng
招	chiêu
笔	bút
家	nhà
度	độ
处	chỗ
瓶	chai
石	thạch
丝	tia
抬	đài
里	dặm
米	mét
帮	đámǀbọnǀđànǀlũǀnhómǀtốpǀbang
道	đạoǀđườngǀnétǀvạch
股	cỗ
更	canh
重	tầng
分	phần
只	con
本	quyển
种	loại
间	gian
声	tiếng
代	đờiǀthờiǀnhàǀlớp
圈	vòng
场	trậnǀbữa
轮	vòngǀvầngǀvànhǀlượt
步	bước
盘	khay
茬	vụǀlứaǀđợt
餐	bữa
架	khung
期	kỳ
层	tầng
门	môn
转	vòng
架次	lượt chiếc
场次	lượt diễn
人次	lượt người
站	trạm
拨	tốp
家	nhà
张	tờ
线	tuyến
口	miệng
笼	lồng
剂	liều
